Sample Date,Concentration (ug/m3)
2016-01-01,11.1
2016-01-02,10.6
2016-01-03,4.7
2016-01-04,6.9
2016-01-05,13.2
2016-01-06,11.1
2016-01-07,15.2
2016-01-08,10.7
2016-01-09,15.2
2016-01-10,10.6
2016-01-11,15.6
2016-01-12,16.1
2016-01-13,12.2
2016-01-14,14.3
2016-01-15,13.7
2016-01-16,12.0
2016-01-17,7.5
2016-01-18,10.2
2016-01-19,11.9
2016-01-20,11.1
2016-01-21,7.7
2016-01-22,6.1
2016-01-23,6.0
2016-01-24,8.9
2016-01-25,8.7
2016-01-26,11.1
2016-01-27,7.1
2016-01-28,8.9
2016-01-29,7.5
2016-01-30,4.8
2016-01-31,8.0
2016-02-01,12.1
2016-02-02,10.4
2016-02-03,10.1
2016-02-04,9.0
2016-02-05,6.7
2016-02-06,5.0
2016-02-07,5.4
2016-02-08,12.9
2016-02-09,12.9
2016-02-10,13.5
2016-02-11,12.7
2016-02-12,13.5
2016-02-13,10.5
2016-02-14,9.2
2016-02-15,18.1
2016-02-16,18.9
2016-02-17,18.3
2016-02-18,10.9
2016-02-19,11.8
2016-02-20,12.8
2016-02-21,11.1
2016-02-22,16.7
2016-02-23,16.2
2016-02-24,10.9
2016-02-25,7.2
2016-02-26,10.9
2016-02-27,10.9
2016-02-28,6.4
2016-02-29,6.3
2016-03-01,6.2
2016-03-02,7.2
2016-03-03,10.7
2016-03-04,11.0
2016-03-05,7.3
2016-03-06,8.8
2016-03-07,12.4
2016-03-08,13.6
2016-03-09,17.2
2016-03-10,11.6
2016-03-11,15.0
2016-03-12,11.1
2016-03-13,9.4
2016-03-14,10.7
2016-03-15,7.9
2016-03-16,7.2
2016-03-17,5.2
2016-03-18,9.2
2016-03-19,9.5
2016-03-20,10.5
2016-03-21,13.1
2016-03-22,21.1
2016-03-23,18.2
2016-03-24,9.0
2016-03-25,8.3
2016-03-26,8.5
2016-03-27,8.1
2016-03-28,6.0
2016-03-29,10.7
2016-03-30,11.4
2016-03-31,11.4
2016-04-01,12.3
2016-04-02,9.0
2016-04-03,6.3
2016-04-04,12.6
2016-04-05,8.6
2016-04-06,6.4
2016-04-07,6.5
2016-04-08,10.5
2016-04-09,12.5
2016-04-10,8.1
2016-04-11,6.5
2016-04-12,9.0
2016-04-13,14.4
2016-04-14,8.1
2016-04-15,11.3
2016-04-16,10.1
2016-04-17,6.9
2016-04-18,9.7
2016-04-19,10.0
2016-04-20,10.0
2016-04-21,9.1
2016-04-22,11.1
2016-04-23,8.0
2016-04-24,10.0
2016-04-25,17.3
2016-04-26,23.0
2016-04-27,14.9
2016-04-28,9.4
2016-04-29,7.9
2016-04-30,11.8
2016-05-01,15.9
2016-05-02,11.8
2016-05-03,9.4
2016-05-04,10.1
2016-05-05,11.3
2016-05-06,9.7
2016-05-07,13.3
2016-05-08,11.0
2016-05-09,11.1
2016-05-10,11.0
2016-05-11,7.1
2016-05-12,20.2
2016-05-13,23.0
2016-05-14,25.2
2016-05-15,19.7
2016-05-16,18.0
2016-05-17,30.1
2016-05-18,25.9
2016-05-19,15.4
2016-05-20,14.9
2016-05-21,14.3
2016-05-22,19.1
2016-05-23,14.3
2016-05-24,22.8
2016-05-25,15.5
2016-05-26,15.0
2016-05-27,15.3
2016-05-28,19.8
2016-05-29,17.1
2016-05-30,13.5
2016-05-31,14.1
2016-06-01,11.0
2016-06-02,13.0
2016-06-03,21.4
2016-06-04,23.6
2016-06-05,15.3
2016-06-06,12.5
2016-06-07,12.6
2016-06-08,12.5
2016-06-09,18.1
2016-06-10,8.2
2016-06-11,15.3
2016-06-12,13.7
2016-06-13,20.8
2016-06-14,17.5
2016-06-15,12.7
2016-06-16,21.4
2016-06-17,25.4
2016-06-18,15.3
2016-06-19,7.6
2016-06-20,16.3
2016-06-21,14.2
2016-06-22,11.0
2016-06-23,13.0
2016-06-24,26.2
2016-06-25,20.5
2016-06-26,11.8
2016-06-27,20.7
2016-06-28,22.1
2016-06-29,12.5
2016-06-30,9.3
2016-07-01,19.8
2016-07-02,28.9
2016-07-03,35.0
2016-07-04,26.9
2016-07-05,27.9
2016-07-06,23.3
2016-07-07,7.6
2016-07-08,4.3
2016-07-09,3.5
2016-07-10,4.1
2016-07-11,12.9
2016-07-12,16.4
2016-07-13,17.2
2016-07-14,16.4
2016-07-15,20.4
2016-07-16,15.1
2016-07-17,16.4
2016-07-18,20.8
2016-07-19,15.7
2016-07-20,25.8
2016-07-21,26.9
2016-07-22,19.6
2016-07-23,8.4
2016-07-24,22.8
2016-07-25,28.7
2016-07-26,19.5
2016-07-27,25.2
2016-07-28,13.7
2016-07-29,24.5
2016-07-30,16.4
2016-07-31,16.2
2016-08-01,13.3
2016-08-02,20.9
2016-08-03,19.0
2016-08-04,18.4
2016-08-05,12.3
2016-08-06,5.8
2016-08-07,9.4
2016-08-08,18.3
2016-08-09,8.0
2016-08-10,5.0
2016-08-11,8.3
2016-08-12,10.1
2016-08-13,11.7
2016-08-14,17.3
2016-08-15,15.1
2016-08-16,15.9
2016-08-17,16.6
2016-08-18,15.5
2016-08-19,15.1
2016-08-20,15.3
2016-08-21,13.6
2016-08-22,11.9
2016-08-23,17.1
2016-08-24,11.0
2016-08-25,8.3
2016-08-26,23.9
2016-08-27,18.7
