timestamp,value
2020-01-01,7610
2020-01-02,6730
2020-01-03,6350
2020-01-04,6390
2020-01-05,6900
2020-01-06,6450
2020-01-07,6190
2020-01-08,6130
2020-01-09,5870
2020-01-10,5600
2020-01-11,5320
2020-01-12,5780
2020-01-13,10100
2020-01-14,10900
2020-01-15,13400
2020-01-16,13000
2020-01-17,11700
2020-01-18,10400
2020-01-19,9780
2020-01-20,9140
2020-01-21,8650
2020-01-22,8630
2020-01-23,8030
2020-01-24,7470
2020-01-25,15000
2020-01-26,30400
2020-01-27,44300
2020-01-28,36000
2020-01-29,26300
2020-01-30,20500
2020-01-31,16700
2020-02-01,14100
2020-02-02,12200
2020-02-03,11100
2020-02-04,10300
2020-02-05,9540
2020-02-06,9610
2020-02-07,13200
2020-02-08,20600
2020-02-09,26300
2020-02-10,29700
2020-02-11,25000
2020-02-12,21300
2020-02-13,19200
2020-02-14,19400
2020-02-15,18700
2020-02-16,18000
2020-02-17,16500
2020-02-18,14900
2020-02-19,13500
2020-02-20,12200
2020-02-21,11200
2020-02-22,10300
2020-02-23,9480
2020-02-24,8670
2020-02-25,8110
2020-02-26,7830
2020-02-27,10100
2020-02-28,10400
2020-02-29,9620
2020-03-01,9420
2020-03-02,8690
2020-03-03,8240
2020-03-04,7970
2020-03-05,8030
2020-03-06,7930
2020-03-07,7970
2020-03-08,7950
2020-03-09,7530
2020-03-10,7180
2020-03-11,6850
2020-03-12,6680
2020-03-13,6760
2020-03-14,6680
2020-03-15,6770
2020-03-16,6800
2020-03-17,6600
2020-03-18,6670
2020-03-19,7610
2020-03-20,8300
2020-03-21,9850
2020-03-22,11400
2020-03-23,11000
2020-03-24,10100
2020-03-25,9600
2020-03-26,9590
2020-03-27,10400
2020-03-28,12900
2020-03-29,14500
2020-03-30,16400
2020-03-31,16900
2020-04-01,15100
2020-04-02,13600
2020-04-03,12600
2020-04-04,11800
2020-04-05,10900
2020-04-06,9950
2020-04-07,9170
2020-04-08,8800
2020-04-09,8660
2020-04-10,8720
2020-04-11,9810
2020-04-12,12300
2020-04-13,19300
2020-04-14,21600
2020-04-15,26600
2020-04-16,32900
2020-04-17,27600
2020-04-18,22500
2020-04-19,19000
2020-04-20,17300
2020-04-21,16000
2020-04-22,14500
2020-04-23,13100
2020-04-24,13100
2020-04-25,12400
2020-04-26,13200
2020-04-27,15400
2020-04-28,19100
2020-04-29,27700
2020-04-30,30000
2020-05-01,53500
2020-05-02,81800
2020-05-03,55900
2020-05-04,41500
2020-05-05,33800
2020-05-06,33500
2020-05-07,30300
2020-05-08,26000
2020-05-09,23000
2020-05-10,21400
2020-05-11,19100
2020-05-12,16900
2020-05-13,14900
2020-05-14,13700
2020-05-15,12600
2020-05-16,11500
2020-05-17,10600
2020-05-18,9840
2020-05-19,8880
2020-05-20,8460
2020-05-21,8090
2020-05-22,8050
2020-05-23,8750
2020-05-24,9880
2020-05-25,12600
2020-05-26,15200
2020-05-27,13100
2020-05-28,11700
2020-05-29,10500
2020-05-30,10000
2020-05-31,10500
2020-06-01,11000
2020-06-02,10200
2020-06-03,8930
2020-06-04,7790
2020-06-05,9800
2020-06-06,12900
2020-06-07,13800
2020-06-08,12500
2020-06-09,12200
2020-06-10,9750
2020-06-11,11700
2020-06-12,8780
2020-06-13,8060
2020-06-14,7300
2020-06-15,6100
2020-06-16,5380
2020-06-17,5110
2020-06-18,5370
2020-06-19,5220
2020-06-20,5990
2020-06-21,10400
2020-06-22,18100
2020-06-23,17100
2020-06-24,16200
2020-06-25,13200
2020-06-26,11300
2020-06-27,8960
2020-06-28,7580
2020-06-29,6260
2020-06-30,5440
2020-07-01,5010
2020-07-02,4740
2020-07-03,4250
2020-07-04,3920
2020-07-05,3590
2020-07-06,3760
2020-07-07,4640
2020-07-08,3710
2020-07-09,3220
2020-07-10,3150
2020-07-11,3150
2020-07-12,3240
2020-07-13,3090
2020-07-14,2840
2020-07-15,2840
2020-07-16,2830
2020-07-17,2720
2020-07-18,2360
2020-07-19,2290
2020-07-20,2410
2020-07-21,2690
2020-07-22,3370
2020-07-23,3630
2020-07-24,3940
2020-07-25,4100
2020-07-26,3830
2020-07-27,4160
2020-07-28,4100
2020-07-29,3540
2020-07-30,2850
2020-07-31,3070
2020-08-01,2860
2020-08-02,2440
2020-08-03,2530
2020-08-04,7970
2020-08-05,6580
2020-08-06,6080
2020-08-07,8810
2020-08-08,6520
2020-08-09,6020
2020-08-10,5730
2020-08-11,5060
2020-08-12,6970
2020-08-13,9390
2020-08-14,5430
2020-08-15,4440
2020-08-16,6360
2020-08-17,6240
2020-08-18,8460
2020-08-19,10900
2020-08-20,9980
2020-08-21,7670
2020-08-22,6780
2020-08-23,5960
2020-08-24,4810
2020-08-25,4660
2020-08-26,5620
2020-08-27,5070
2020-08-28,4840
2020-08-29,5690
2020-08-30,4890
2020-08-31,4630
2020-09-01,5510
2020-09-02,5890
2020-09-03,10300
2020-09-04,12800
2020-09-05,9770
2020-09-06,7770
2020-09-07,6640
2020-09-08,5620
2020-09-09,4770
2020-09-10,5880
2020-09-11,5030
2020-09-12,5960
2020-09-13,4650
2020-09-14,3960
2020-09-15,3500
2020-09-16,3300
2020-09-17,2970
2020-09-18,2870
2020-09-19,2760
2020-09-20,2570
2020-09-21,2410
2020-09-22,2420
2020-09-23,2470
2020-09-24,2420
2020-09-25,2520
2020-09-26,2480
2020-09-27,2380
2020-09-28,2260
2020-09-29,2300
2020-09-30,2550
2020-10-01,3060
2020-10-02,3420
2020-10-03,3480
2020-10-04,3770
2020-10-05,3790
2020-10-06,3330
2020-10-07,3060
2020-10-08,2710
2020-10-09,2490
2020-10-10,2370
2020-10-11,2310
2020-10-12,3010
2020-10-13,3600
2020-10-14,3910
2020-10-15,4020
2020-10-16,3810
2020-10-17,3640
2020-10-18,3340
2020-10-19,3000
2020-10-20,2880
2020-10-21,2810
2020-10-22,2570
2020-10-23,2480
2020-10-24,2430
2020-10-25,2410
2020-10-26,2340
2020-10-27,2330
2020-10-28,2390
2020-10-29,4330
2020-10-30,5380
2020-10-31,4660
2020-11-01,6890
2020-11-02,9710
2020-11-03,7710
2020-11-04,6300
2020-11-05,5450
2020-11-06,4860
2020-11-07,4400
2020-11-08,4030
2020-11-09,3700
2020-11-10,3580
2020-11-11,3880
2020-11-12,7940
2020-11-13,7190
2020-11-14,9800
2020-11-15,17100
2020-11-16,13200
2020-11-17,10400
2020-11-18,8660
2020-11-19,7230
2020-11-20,6330
2020-11-21,5640
2020-11-22,5130
2020-11-23,4670
2020-11-24,4570
2020-11-25,4370
2020-11-26,4230
2020-11-27,4100
2020-11-28,3980
2020-11-29,3790
2020-11-30,5760
2020-12-01,8490
2020-12-02,8140
2020-12-03,11900
2020-12-04,12600
2020-12-05,14200
2020-12-06,12200
2020-12-07,11000
2020-12-08,11100
2020-12-09,10200
2020-12-10,9120
2020-12-11,8340
2020-12-12,7540
2020-12-13,6720
2020-12-14,8400
2020-12-15,10400
2020-12-16,10500
2020-12-17,16800
2020-12-18,14400
2020-12-19,12300
2020-12-20,10900
2020-12-21,10300
2020-12-22,10200
2020-12-23,11400
2020-12-24,16400
2020-12-25,52600
2020-12-26,76800
2020-12-27,63400
2020-12-28,40300
2020-12-29,29200
2020-12-30,23200
2020-12-31,19400
