timestamp,value
2015-03-12,3.66
2015-03-13,3.77
2015-03-14,3.9
2015-03-15,3.96
2015-03-16,4.0
2015-03-17,4.11
2015-03-18,4.18
2015-03-19,4.13
2015-03-20,4.03
2015-03-21,3.92
2015-03-22,3.76
2015-03-23,3.61
2015-03-24,3.45
2015-03-25,3.25
2015-03-26,3.19
2015-03-27,3.21
2015-03-28,3.23
2015-03-29,3.19
2015-03-30,3.23
2015-03-31,3.22
2015-04-01,3.17
2015-04-02,3.09
2015-04-03,2.99
2015-04-04,2.94
2015-04-05,2.92
2015-04-06,2.91
2015-04-07,2.89
2015-04-08,2.88
2015-04-09,2.85
2015-04-10,2.86
2015-04-11,2.91
2015-04-12,2.91
2015-04-13,2.86
2015-04-14,3.31
2015-04-15,3.42
2015-04-16,3.43
2015-04-17,3.58
2015-04-18,3.57
2015-04-19,3.5
2015-04-20,3.42
2015-04-21,3.41
2015-04-25,5.26
2015-04-26,6.62
2015-04-27,5.98
2015-04-28,5.63
2015-04-29,5.64
2015-04-30,5.65
2015-05-01,5.65
2015-05-02,5.66
2015-05-03,6.11
2015-05-04,7.08
2015-05-05,7.33
2015-05-06,7.13
2015-05-07,7.05
2015-05-08,6.9
2015-05-09,6.83
2015-05-10,6.68
2015-05-11,6.57
2015-05-12,6.45
2015-05-13,6.39
2015-05-14,6.27
2015-05-15,6.16
2015-05-16,5.91
2015-05-17,5.81
2015-05-18,6.2
2015-05-19,6.29
2015-05-20,6.62
2015-05-21,6.67
2015-05-22,6.66
2015-05-23,6.89
2015-05-24,7.25
2015-05-25,7.32
2015-05-26,7.27
2015-05-27,7.24
2015-05-28,7.17
2015-05-29,6.88
2015-05-30,6.9
2015-05-31,6.89
2015-06-01,6.77
2015-06-02,6.66
2015-06-04,8.96
2015-06-05,9.72
2015-06-06,10.3
2015-06-07,10.4
2015-06-08,10.3
2015-06-09,10.1
2015-06-10,9.95
2015-06-11,9.58
2015-06-12,9.4
2015-06-13,21.6
2015-06-14,13.1
2015-06-15,5.26
2015-06-16,6.53
2015-06-17,9.17
2015-07-02,10.2
2015-07-03,10.3
2015-07-04,10.2
2015-07-09,8.25
2015-07-10,8.5
2015-07-11,8.21
2015-07-12,8.03
2015-07-13,8.26
2015-07-14,8.18
2015-07-15,8.01
2015-07-16,7.64
2015-07-17,6.03
2015-07-18,6.15
2015-07-19,6.65
2015-07-20,6.43
2015-07-21,6.35
2015-07-22,6.22
2015-07-23,6.16
2015-07-24,6.08
2015-07-25,5.97
2015-07-26,5.76
2015-07-27,5.54
2015-07-28,5.14
2015-07-29,4.99
2015-07-30,4.91
2015-07-31,5.02
2015-08-01,5.18
2015-08-02,5.37
2015-08-03,5.56
2015-08-04,5.7
2015-08-05,5.79
2015-08-06,5.98
2015-08-07,6.03
2015-08-08,6.06
2015-08-09,5.8
2015-08-10,5.3
2015-08-11,4.82
2015-08-12,4.44
2015-08-13,4.22
2015-08-14,3.99
2015-08-15,3.93
2015-08-16,4.03
2015-08-17,4.08
2015-08-18,4.08
2015-08-19,3.96
2015-08-20,3.87
2015-08-21,3.83
2015-08-22,3.82
2015-08-23,3.76
2015-08-24,3.69
2015-08-25,3.63
2015-08-26,3.49
2015-08-27,3.26
2015-08-28,3.08
2015-08-29,2.91
2015-08-30,2.98
2015-08-31,3.24
2015-09-01,3.54
2015-09-02,3.91
2015-09-03,4.05
2015-09-04,4.38
2015-09-05,4.76
2015-09-06,5.21
2015-09-07,5.29
2015-09-08,5.2
2015-09-09,4.98
2015-09-10,4.87
2015-09-11,4.75
2015-09-12,4.64
2015-09-13,4.35
2015-09-14,3.92
2015-09-15,4.0
2015-09-16,4.01
2015-09-17,3.86
2015-09-18,3.66
2015-09-19,4.61
2015-09-20,4.21
2015-09-21,4.05
2015-09-22,4.02
2015-09-23,3.91
2015-09-24,3.8
2015-09-25,3.73
2015-09-26,3.74
2015-09-27,3.78
2015-09-28,3.77
2015-09-29,3.71
2015-09-30,3.66
2015-10-01,3.68
2015-10-02,3.73
2015-10-03,3.82
2015-10-04,3.94
2015-10-05,4.06
2015-10-06,4.16
2015-10-07,4.19
2015-10-08,4.29
2015-10-09,4.45
2015-10-10,4.49
2015-10-11,4.52
2015-10-12,4.58
2015-10-13,4.54
2015-10-14,4.4
2015-10-15,4.25
2015-10-16,4.18
2015-10-17,4.11
2015-10-18,4.06
2015-10-19,4.04
2015-10-20,4.05
2015-10-21,3.98
2015-10-22,3.88
2015-10-23,3.74
2015-10-24,3.63
2015-10-25,3.58
2015-10-26,3.55
2015-10-27,3.55
2015-10-28,3.54
2015-10-29,3.37
2015-10-30,3.73
2015-10-31,3.82
2015-11-01,3.87
2015-11-02,3.86
2015-11-03,3.87
2015-11-04,3.88
2015-11-05,3.89
2015-11-06,3.88
2015-11-07,3.88
2015-11-08,3.89
2015-11-09,3.9
2015-11-10,3.9
2015-11-11,3.92
2015-11-12,4.16
2015-11-13,4.31
2015-11-14,4.22
2015-11-15,4.22
2015-11-16,4.24
2015-11-17,4.24
2015-11-18,4.91
2015-11-19,4.98
2015-11-20,4.96
2015-11-21,4.95
2015-11-22,4.95
2015-11-23,4.97
2015-11-24,4.98
2015-11-25,5.03
2015-11-26,6.03
2015-11-27,6.5
2015-11-28,5.79
2015-11-29,5.93
2015-11-30,6.23
2015-12-01,6.19
2015-12-02,6.22
2016-03-13,8.0
2016-03-14,8.98
2016-03-15,7.95
2016-03-16,8.16
2016-03-17,8.47
2016-03-18,8.17
2016-03-19,7.92
2016-03-20,8.16
2016-03-21,8.57
2016-03-22,8.69
2016-03-23,8.18
2016-03-24,7.9
2016-03-25,7.72
2016-03-26,7.65
2016-03-27,7.51
2016-03-28,8.16
2016-03-29,7.94
2016-03-30,7.47
2016-03-31,7.42
2016-04-01,7.88
2016-04-02,8.28
2016-04-03,9.08
2016-04-04,8.88
2016-04-05,9.33
2016-04-14,9.84
2016-04-15,9.78
2016-04-16,9.64
2016-04-17,9.39
2016-04-18,8.93
2016-04-19,8.61
2016-04-20,8.48
2016-04-21,8.47
2016-04-22,8.27
2016-04-23,7.92
2016-04-24,7.61
2016-04-25,7.36
2016-04-26,7.25
2016-04-27,7.29
2016-04-28,7.37
2016-04-29,7.34
2016-04-30,7.2
2016-05-01,7.06
2016-05-02,6.98
2016-05-03,7.2
2016-05-04,7.22
2016-05-05,7.24
2016-05-06,7.25
2016-05-07,7.17
2016-05-08,7.07
2016-05-09,6.95
2016-05-10,7.75
2016-05-11,8.05
2016-05-12,7.43
2016-05-13,7.37
2016-05-14,7.35
2016-05-15,7.46
2016-05-16,7.52
2016-05-17,7.51
2016-05-18,7.66
2016-05-19,7.98
2016-05-20,8.04
2016-05-21,7.98
2016-05-22,7.84
2016-05-23,7.79
2016-05-24,7.7
2016-05-25,7.58
2016-05-26,7.49
2016-05-27,7.33
2016-05-28,7.13
2016-05-29,6.9
2016-05-30,6.63
2016-06-10,13.4
2016-06-11,13.4
2016-06-12,13.3
2016-06-13,12.9
2016-06-14,12.6
2016-06-15,12.3
2016-06-16,11.7
2016-06-17,11.8
2016-06-18,12.1
2016-06-19,12.1
2016-06-20,11.7
2016-06-21,11.1
2016-06-22,11.0
2016-06-23,10.8
2016-06-24,10.4
2016-06-25,10.2
2016-06-26,9.98
2016-06-27,9.78
2016-06-28,9.59
2016-06-29,9.49
2016-06-30,9.36
2016-07-01,9.28
2016-07-02,9.17
2016-07-03,9.07
2016-07-06,8.78
2016-07-07,8.64
2016-07-08,8.29
2016-07-09,7.83
2016-07-10,7.69
2016-07-11,7.42
2016-07-12,6.96
2016-07-13,6.52
2016-07-21,6.78
2016-07-22,6.82
2016-07-23,6.21
2016-07-24,6.25
2016-07-28,7.6
2016-07-29,7.41
2016-07-30,7.34
2016-07-31,7.32
2016-08-01,7.2
2016-08-02,7.14
2016-08-03,7.03
2016-08-04,6.74
2016-08-05,6.33
2016-08-06,6.01
2016-08-07,5.64
2016-08-08,5.45
2016-08-09,5.38
2016-08-10,5.17
2016-08-11,4.98
2016-08-12,4.65
2016-08-17,4.21
2016-08-18,4.11
2016-08-19,4.05
2016-08-20,4.04
2016-08-21,4.06
2016-08-22,4.15
2016-08-23,4.32
2016-08-24,4.4
2016-08-25,4.69
2016-08-26,4.66
2016-08-27,4.7
2016-08-28,5.34
2016-08-29,5.21
2016-08-30,4.64
2016-08-31,4.58
2016-09-01,5.06
2016-09-02,5.36
2016-09-03,5.02
2016-09-04,5.03
2016-09-05,5.88
2016-09-06,5.89
2016-09-07,5.79
2016-09-08,5.56
2016-09-09,5.28
2016-09-10,5.04
2016-09-11,5.19
2016-09-12,5.37
2016-09-13,5.27
2016-09-14,5.33
2016-09-15,5.39
2016-09-16,5.82
2016-09-17,6.16
2016-09-18,6.11
2016-09-19,6.6
2016-09-20,7.0
2016-09-21,6.91
2016-09-22,6.92
2016-09-23,7.09
2016-09-24,7.07
2016-09-25,6.28
2016-09-26,5.98
2016-09-27,5.06
2016-09-28,3.15
2016-09-29,3.1
2016-09-30,3.29
2016-10-01,3.71
2016-10-02,4.28
2016-10-06,5.48
2016-10-07,5.4
2016-10-08,5.48
2016-10-09,5.58
2016-10-10,5.58
2016-10-11,5.54
2016-10-12,5.47
2016-10-13,5.47
2016-10-14,5.54
2016-10-15,5.58
2016-10-16,5.58
2016-10-17,5.58
2016-10-18,5.49
2016-10-19,5.47
2016-10-20,5.37
2016-10-21,5.3
2016-10-22,5.21
2016-10-23,5.12
2016-10-24,5.1
2016-10-25,5.11
2016-10-26,5.1
2016-10-27,5.15
2016-10-28,5.38
2016-10-29,5.78
2016-10-30,5.96
2016-10-31,6.25
2016-11-01,6.2
2016-11-02,6.31
2016-11-03,6.55
2016-11-04,6.53
2016-11-05,6.5
2016-11-06,6.51
2016-11-07,6.54
2016-11-08,6.64
2016-11-09,6.67
2016-11-10,6.67
2016-11-11,6.66
2016-11-12,6.57
2016-11-13,6.61
2016-11-14,6.5
2016-11-15,6.4
2016-11-16,6.32
2016-11-17,6.22
2016-11-18,6.08
2016-11-19,6.03
2016-11-20,6.07
2016-11-21,6.19
2016-11-22,6.31
2016-11-23,6.34
2016-11-24,6.24
2016-11-25,6.15
2016-11-26,6.14
2016-11-27,6.33
2016-11-28,6.34
2016-11-29,6.38
2016-11-30,6.3
2016-12-07,6.6
2016-12-08,6.55
2016-12-09,6.6
2016-12-10,6.68
2016-12-11,6.69
2016-12-12,6.77
2016-12-13,7.05
2016-12-14,7.04
2016-12-15,7.28
2016-12-16,7.38
2016-12-17,7.32
2016-12-18,7.44
2016-12-19,7.7
2016-12-20,7.76
2016-12-21,7.61
2016-12-22,7.69
2016-12-23,7.59
2016-12-24,7.51
2016-12-25,7.62
2016-12-26,7.53
2016-12-27,7.29
2016-12-28,6.66
2016-12-29,6.93
2016-12-30,7.24
2016-12-31,7.29
2017-02-23,5.87
2017-02-24,5.97
2017-02-25,6.15
2017-02-26,6.22
2017-02-27,6.61
2017-02-28,7.36
2017-03-01,8.2
2017-03-02,8.4
2017-03-03,8.42
2017-03-04,8.5
2017-03-05,8.58
2017-03-06,8.59
2017-03-07,8.51
2017-03-08,8.33
2017-03-09,8.24
2017-03-10,8.25
2017-03-11,8.26
2017-03-12,8.19
2017-03-13,8.2
2017-03-14,8.3
2017-03-15,8.4
2017-03-16,8.43
2017-03-17,8.35
2017-03-18,8.23
2017-03-19,8.11
2017-03-20,7.94
2017-03-21,7.76
2017-03-22,7.65
2017-03-23,7.54
2017-03-24,7.37
2017-03-25,7.13
2017-03-26,6.94
2017-03-27,6.82
2017-03-28,6.77
2017-03-29,6.7
2017-03-30,6.5
2017-03-31,6.85
2017-04-01,7.47
2017-04-02,7.48
2017-04-03,7.42
2017-04-04,7.74
2017-04-05,7.93
2017-04-06,8.55
2017-04-07,8.82
2017-04-08,8.91
2017-04-09,8.88
2017-04-10,8.91
2017-04-11,8.91
2017-04-12,8.61
2017-04-13,8.32
2017-04-14,8.13
2017-04-15,7.88
2017-04-16,7.59
2017-04-17,7.01
2017-04-18,6.96
2017-04-19,7.72
2017-04-20,7.71
2017-04-21,8.04
2017-04-22,8.25
2017-04-23,8.33
2017-04-24,8.33
2017-04-25,8.25
2017-04-26,8.43
2017-04-27,8.48
2017-04-28,8.41
2017-04-29,8.2
2017-04-30,8.33
2017-05-01,8.88
2017-05-02,8.99
2017-05-03,8.88
2017-05-04,8.63
2017-05-05,8.6
2017-05-06,8.75
2017-05-07,8.97
2017-05-08,9.3
2017-05-09,9.33
2017-05-10,9.04
2017-05-11,8.67
2017-05-12,8.88
2017-05-13,8.97
2017-05-14,8.51
2017-05-15,7.97
2017-05-16,7.84
